,State,Latitude,Longitude
157,Uzbekistan,41.32373,63.9528098
158,Guam,13.450125700000001,144.75755102972062
159,Puerto Rico,18.2214149,-66.41328179513847
160,Benin,9.5293472,2.2584408
161,Greenland,77.6192349,-42.8125967
162,Liberia,5.7499721,-9.3658524
163,Mayotte,-12.823048,45.1520755
164,Somalia,8.3676771,49.083416
165,Tanzania,-6.5247123,35.7878438
166,The Bahamas,24.7736546,-78.0000547
167,Barbados,13.1500331,-59.5250305
168,Montenegro,42.9868853,19.5180992
169,The Gambia,13.470062,-15.4900464
170,Kyrgyzstan,41.5089324,74.724091
171,Mauritius,-20.2759451,57.5703566
172,Zambia,-14.5186239,27.5599164
173,Djibouti,11.8145966,42.8453061
174,"Gambia, The",13.470062,-15.4900464
175,"Bahamas, The",24.7736546,-78.0000547
176,Chad,15.6134137,19.0156172
177,El Salvador,13.8000382,-88.9140683
178,Fiji,-18.1239696,179.0122737
179,Nicaragua,12.6090157,-85.2936911
180,Madagascar,-18.9249604,46.4416422
181,Haiti,19.1399952,-72.3570972
182,Angola,-11.8775768,17.5691241
183,Cabo Verde,16.0000552,-24.0083947
184,Niger,17.7356214,9.3238432
185,Papua New Guinea,-5.6816069,144.2489081
186,Zimbabwe,-18.4554963,29.7468414
187,Cape Verde,16.0000552,-24.0083947
188,East Timor,-8.5151979,125.8375756
189,Eritrea,15.9500319,37.9999668
190,Uganda,1.5333554,32.2166578
191,Dominica,19.0974031,-70.3028026
192,Grenada,12.1360374,-61.6904045
193,Mozambique,-19.302233,34.9144977
194,Syria,34.6401861,39.0494106
195,Timor-Leste,-8.5151979,125.8375756
